fecha,Precios al Consumidor (INPC),Subyacente,"Subyacente, Mercancias","Subyacente, Servicios","Subyacente, Servicios, Vivienda","Subyacente, Servicios, Educacion (colegiaturas)","Subyacente, Servicios, Otros servicios",No subyacente,"No subyacente, Agropecuarios","No subyacente, Agropecuarios, Frutas y verduras","No subyacente, Agropecuarios, Pecuarios","No subyacente, Energeticos y tarifas autorizadas por el gobierno","No subyacente, Energeticos y tarifas autorizadas por el gobierno, Energeticos","No subyacente, Energeticos y tarifas autorizadas por el gobierno, Tarifas autorizadas por el gobierno"
15/09/2012,79.49621371,82.81060364,80.77525152,84.59382229,87.46168171,79.71802172,83.18353225,70.03228633,75.88767789,74.0037316,77.11234014,66.65989471,62.69143827,74.97311629
01/10/2012,79.85380732,82.94957931,80.91548424,84.73161272,87.51920354,79.71802172,83.44266039,70.99946545,75.59321155,72.98843968,77.2781859,68.32896358,65.12563181,75.0004959
15/10/2012,79.82751367,82.99136956,80.97150384,84.76066234,87.58169776,79.71802172,83.44784232,70.78402683,74.70101734,71.30361837,76.89199542,68.49115537,65.34623721,75.03725945
01/11/2012,80.45705872,83.13931857,81.25307317,84.78907885,87.66062122,79.71802172,83.4354445,72.75583203,74.45632931,70.37546613,77.08377058,71.6956394,69.94711657,75.24514474
15/11/2012,80.30906304,82.88744473,81.25652297,84.30903649,87.73898329,79.71802172,82.25900233,72.89810513,74.63030418,70.97338842,76.98701705,71.82001912,70.11257062,75.28130021
01/12/2012,80.52917844,83.10183379,81.5384336,84.46296126,87.81175308,79.7261123,82.53760784,73.13396986,74.82645247,70.77551206,77.43488618,72.07766262,70.48503796,75.29255283
15/12/2012,80.60730813,83.12563967,81.71090353,84.35383913,87.87888962,79.7261123,82.22175772,73.361267,75.36512946,71.36505618,77.9412258,72.13101186,70.53951559,75.34334467
01/01/2013,80.7312639,83.27281208,81.84587974,84.51185096,87.95648512,80.00181646,82.4220452,73.42111771,74.94498732,69.78980698,78.25873818,72.45837136,70.90794114,75.58195409
15/01/2013,81.05354889,83.66016614,81.79809691,85.28808111,88.07822395,80.244885,84.00510227,73.56139639,74.88136538,70.40629994,77.7607054,72.71211054,70.94964717,76.28872391
01/02/2013,81.24661939,83.86360084,81.93380258,85.55198119,88.16119778,80.31518463,84.50630143,73.72381482,74.86084358,71.06827031,77.30426653,72.97626972,71.13372131,76.72354225
15/02/2013,81.33601779,83.91891686,81.94961427,85.64259281,88.23516741,80.32037628,84.63961234,73.90959199,75.00010208,71.04172595,77.54946341,73.18769518,71.38993348,76.83856658
01/03/2013,81.75972114,84.13316624,82.11411576,85.9012262,88.3298657,80.32381828,85.13795898,74.91684401,77.18924366,75.44288658,78.3263936,73.53447877,71.82555578,76.99432377
15/03/2013,82.01514514,84.15414169,82.11180567,85.94301153,88.39772534,80.32765875,85.16585345,75.82545643,79.60839267,81.2699432,78.5695758,73.59955065,71.84801463,77.15040506
01/04/2013,81.93851794,84.19687713,82.23055527,85.91916663,88.45957904,80.33928662,85.04309268,75.40289479,79.77592642,81.06075738,78.97263814,72.82977282,69.80524952,78.96132925
15/04/2013,81.94452792,84.2251241,82.2314176,85.97139963,88.55950703,80.35369156,85.05812499,75.34532496,79.36576313,78.74934812,79.75115154,72.97967141,69.83603623,79.35270099
01/05/2013,81.66130777,84.34523957,82.34832932,86.09432125,88.62749393,80.38219727,85.26667819,73.89436105,79.01889305,76.57058236,80.54959969,70.87905107,66.68750081,79.37649821
15/05/2013,81.67633271,84.40928127,82.39563691,86.17302026,88.74163599,80.40805175,85.32540164,73.7685881,78.51102745,74.11822117,81.25745085,70.97810408,66.76793812,79.51329047
01/01/1900,81.63801911,84.46902451,82.43005614,86.25494464,88.85654023,80.4685714,85.38012914,73.44673127,76.85855674,70.36481413,80.9185051,71.43918964,67.27549806,79.88015942
15/06/2013,81.59970551,84.50212334,82.33791488,86.39774053,88.94545057,80.49409483,85.6145672,73.20144777,75.94202372,68.59410604,80.53601031,71.58887398,67.35019921,80.18185572
01/07/2013,81.59970551,84.53183973,82.28650074,86.49851866,89.02067176,80.52870076,85.76208131,73.11577504,75.3503549,67.63819401,80.17206972,71.80093284,67.65849553,80.1988143
15/07/2013,81.58392932,84.49669203,82.21497811,86.49523153,89.08455654,80.67272398,85.64420813,73.15451867,75.1377866,68.10384202,79.53547427,71.98755014,67.82066923,80.4349856
01/08/2013,81.79653224,84.58517792,82.42085764,86.48089305,89.1952001,81.45191843,85.25560834,73.72699443,76.15306496,70.61032056,79.61844038,72.2994778,68.23007481,80.5492982
15/08/2013,81.85212453,84.59609909,82.50930472,86.42390973,89.2541192,81.5156711,85.0422866,73.91234396,76.62894725,72.26177664,79.35934299,72.31387585,68.15598544,80.74308506
01/09/2013,82.12858345,84.85127339,82.80846068,86.64056076,89.30909884,83.25157202,84.95373393,74.24958661,77.04568378,72.62024081,79.81251194,72.60434375,68.57448405,80.77399881
